date,extension_id,pos_id,pos_name,product_id,product_name,generic_name,brand,gender_name,level1_name,level2_name,level3_name,pincode,city,state,country,price
2024-12-30,5607109,63,Amazon,B09G9BL5CP,Apple iPhone 13 (128GB) - Blue,Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,43499
2024-12-30,5703252,2,Flipkart,MOBGTAGPTB3VS24W,"Apple iPhone 15 (Black, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,59999
2024-12-30,3984489,2,Flipkart,MOBH4DQF7JGHH7QZ,"Apple iPhone 16 Plus (Black, 256 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,94900
2024-12-30,5566342,2,Flipkart,MOBGTAGPYYWZRUJX,"Apple iPhone 15 (Green, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,508245,Nalgonda District,Telangana,,59999
2024-12-30,5607109,63,Amazon,B09G9HD6PD,Apple iPhone 13 (128GB) - Midnight,Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,43499
2024-12-29,5448568,63,Amazon,B09V4B6K53,Apple iPhone 13 (128GB) - Green,Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,43499
2024-12-29,5089083,2,Flipkart,MOBH4DQFG8NKFRDY,"Apple iPhone 16 (Black, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,74900
2024-12-29,4846418,2,Flipkart,MOBGTAGPXUWEXXWY,"Apple iPhone 15 Plus (Pink, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,636006,Salem,Tamil Nadu,,66999
2024-12-29,5538301,2,Flipkart,MOBGTAGPYYWZRUJX,"Apple iPhone 15 (Green, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,59999
2024-12-29,5448568,63,Amazon,B09G9HD6PD,Apple iPhone 13 (128GB) - Midnight,Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,43499
2024-12-29,5448568,63,Amazon,B09G9BL5CP,Apple iPhone 13 (128GB) - Blue,Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,43499
2024-12-28,5426993,2,Flipkart,MOBH4DQF849HCG6G,"Apple iPhone 16 (White, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,74900
2024-12-28,5588605,2,Flipkart,MOBGTAGPYYWZRUJX,"Apple iPhone 15 (Green, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,59999
2024-12-27,5663184,2,Flipkart,MOBGTAGPNRQA7CS3,"Apple iPhone 15 Plus (Black, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,110018,NEW DELHI,Delhi,,66999
2024-12-27,5681069,63,Amazon,B09V4B6K53,Apple iPhone 13 (128GB) - Green,Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,43499
2024-12-27,5694103,2,Flipkart,MOBGTAGPTB3VS24W,"Apple iPhone 15 (Black, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,600119,Chennai,Tamil Nadu,,59999
2024-12-26,5683715,63,Amazon,B0CHX6X2WW,Apple iPhone 15 Plus (128 GB) - Blue,Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,74900
2024-12-26,5362312,2,Flipkart,MOBGTAGPYYWZRUJX,"Apple iPhone 15 (Green, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,400086,Mumbai,Maharashtra,,59999
2024-12-26,4176393,2,Flipkart,MOBGTAGPJVGHTAYC,"Apple iPhone 15 Plus (Green, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,66999
2024-12-26,5596267,63,Amazon,B0BDJ213TX,Apple iPhone 14 (128 GB) - Purple,Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,54900
2024-12-26,5602525,2,Flipkart,MOBGTAGPTB3VS24W,"Apple iPhone 15 (Black, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,848202,Begusarai District,Bihar,,59999
2024-12-25,5574811,2,Flipkart,MOBGTAGPFDXBQ9BH,"Apple iPhone 15 (Pink, 256 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,62147
2024-12-25,5627257,2,Flipkart,MOBGTAGPNRQA7CS3,"Apple iPhone 15 Plus (Black, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,66999
2024-12-25,4354539,63,Amazon,B09V4B6K53,Apple iPhone 13 (128GB) - Green,Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,43499
2024-12-25,5598144,2,Flipkart,MOBGTAGPYYWZRUJX,"Apple iPhone 15 (Green, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,751001,Bhubaneswar,Odisha,,59999
2024-12-25,5598144,2,Flipkart,MOBGTAGPYYWZRUJX,"Apple iPhone 15 (Green, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,751001,Bhubaneswar,Odisha,,59999
2024-12-24,5604393,2,Flipkart,MOBGTAGPXUWEXXWY,"Apple iPhone 15 Plus (Pink, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,342003,Jodhpur,Rajasthan,,66999
2024-12-24,5096284,2,Flipkart,MOBGTAGPTB3VS24W,"Apple iPhone 15 (Black, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,,,,,59999
2024-12-24,5620600,2,Flipkart,MOBGTAGPYYWZRUJX,"Apple iPhone 15 (Green, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,209304,KANPUR,Uttar Pradesh,,59999
2024-12-24,5605996,2,Flipkart,MOBGTAGPNRQA7CS3,"Apple iPhone 15 Plus (Black, 128 GB)",Smartphone,Apple,Unisex,Mobiles & Accessories,Mobiles,Mobiles,799201,Khowai,Tripura,,66999
